VMA;lat;lon
110;48.5582;-3.87031
110;47.538357;-2.415086
90;48.091976;-1.62725
90;43.4229;5.37299
110;47.660714;-2.859226
130;48.67771;7.77569
130;44.12164;4.8012
90;48.08149;-1.69679
110;47.788761;-3.25207
110;47.77297;7.22538
90;49.19715;-0.32943
110;47.971793;-4.141026
110;47.79848;7.3084
130;49.29835;1.12066
110;48.5787;-3.73713
90;48.72874;3.57369
110;43.540009;6.837452
90;50.36111;3.48538
110;48.21071;7.40138
110;48.39998;7.62334
110;47.63772;-2.67244
130;44.5741;-0.316742
110;48.456213;-2.079864
90;48.13248;-1.70841
90;50.31764;3.36847
110;48.96191;2.54522
90;49.191129;-0.429973
110;49.15442;6.84603
90;46.11793;-1.107105
110;45.66998;-0.25415
90;43.511386;5.421242
90;48.391526;-4.402304
110;49.69133;4.91735
90;49.91867;1.10514
90;43.410306;5.284594
90;50.157033;1.73917
90;43.411843;5.026946
130;47.971316;7.37191
110;48.57885;-3.737738
110;48.957902;-0.226211
110;50.33817;3.52505
110;50.33815;3.5251
70;45.86653;1.27662
110;46.21387;1.409979
110;45.884318;3.579395
90;48.27466;6.94475
110;45.61721;0.1006
90;48.71206;6.147947
90;47.66463;-2.786
90;43.94325;2.16475
90;48.70355;2.44391
90;48.872792;2.669814
90;48.87359;2.670092
90;49.46221;1.041
70;50.61737;3.03857
130;43.709652;1.567618
90;44.94434;4.890226
110;45.003532;5.007799
110;48.7339;2.72933
110;48.830295;2.631771
110;48.937678;2.480256
110;45.951792;6.120131
90;48.888994;2.667808
110;48.55064;-3.11223
110;48.38294;-2.37652
110;48.557242;-3.179421
110;48.7527;1.458795
90;49.27966;4.04314
110;47.941799;-2.614202
110;48.606314;6.331942
110;47.949899;-2.525265
90;49.1069;6.14738
110;49.16668;6.87561
110;49.22408;2.546022
90;49.208869;0.768896
110;49.224161;2.545919
90;50.93457;1.881827
90;48.52462;7.65873
110;46.32149;-0.41641
90;48.74922;2.21065
130;43.170167;2.77917
110;48.447491;-2.481383
90;47.36361;0.64946
110;50.969638;2.395969
130;50.116541;3.1579
130;50.116578;3.157861
130;50.465062;3.245309
130;50.465028;3.245222
70;45.43425;4.42989
70;49.0193;2.09775
90;48.80902;2.33953
90;44.944514;4.89072
110;48.02854;-1.68939
110;47.607726;7.526685
110;47.608194;7.525671
90;48.46367;2.18042
70;43.125496;5.898479
90;44.77205;-0.55527
90;43.94343;2.16487
90;46.340281;-0.39921
130;44.016558;4.889619
110;45.85372;0.18496
110;45.21657;1.51352
130;45.43246;2.04453
90;43.66078;7.15784
110;46.00455;1.33776
